Key;Type;Desc;English;Vietnamese [vi]
Item/Arrow_Titanium;Text;;Titanium arrow@Carefully crafted for maximum punch.;Tên titan@Được chế tạo tỉ mỉ để có lực đâm xuyên tối đa.
Item/Axe;Text;;Metal axe@A more durable and faster axe compared to its predecessor.;Rìu kim loại@Bền hơn và nhanh hơn so với phiên bản trước.
Item/Axe_Stone;Text;;Stone axe@Useful for chopping down trees and removing raft parts.;Rìu đá@Hữu ích để chặt cây và tháo dỡ bộ phận bè.
Item/Axe_Titanium;Text;;Titanium axe@A sturdy axe that let you chop down even more trees.;Rìu titan@Một chiếc rìu chắc chắn giúp bạn chặt được nhiều cây hơn.
Item/BBQ;Text;;BBQ@When fruit gets boring.;Đồ nướng@Khi trái cây đã nhàm chán.
Item/Backpack;Text;;Backpack@Aside from being beautiful it expands your inventory.;Balo@Ngoài vẻ đẹp, nó còn mở rộng túi đồ của bạn.
Item/BackpackAdvanced;Text;;Big backpack@Aside from being beautiful it greatly expands your inventory.;Balo lớn@Ngoài vẻ đẹp, nó còn mở rộng túi đồ của bạn rất nhiều.
Item/Banana;Text;;Banana@It's yellow and tastes great.;Chuối@Màu vàng và rất ngon.
Item/Barrel;Text;;Barrel;Thùng phuy
Item/Battery;Text;;Battery@Used to power electrical machines.;Pin@Dùng để cấp điện cho máy móc.
Item/BeachBall;Text;;Beach ball@A fun ocean activity!;Bóng biển@Một hoạt động vui vẻ trên biển!
Item/BearHead;Text;;Bear head@Looks good on a trophy board.;Đầu gấu@Trông đẹp khi treo trên bảng chiến lợi phẩm.
Item/Bee;Text;;Bee jar@Bzz! Bzz!;Lọ ong@Vo ve! Vo ve!
Item/Berries_Red;Text;;Red berries@Despite being very red, they are not poisonous.;Quả mọng đỏ@Dù rất đỏ, chúng không có độc.
Item/Binoculars;Text;;Binoculars@See farther!;Ống nhòm@Nhìn xa hơn!
Item/Biofuel;Text;;Biofuel@Can be used to fuel certain machines.;Nhiên liệu sinh học@Có thể dùng làm nhiên liệu cho một số máy móc.
Item/BlueprintAnchorStationaryAdvanced;Text;;Blueprint: Advanced stationary anchor@Can be learned in research table.;Bản thiết kế: Neo cố định nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintAntenna;Text;;Blueprint: Antenna@Can be learned in research table.;Bản thiết kế: Ăng-ten@Có thể học tại bàn nghiên cứu.
Item/BlueprintBackpackAdvanced;Text;;Blueprint: Big backpack@Can be learned in research table.;Bản thiết kế: Balo lớn@Có thể học tại bàn nghiên cứu.
Item/BlueprintBattery;Text;;Blueprint: Battery@Can be learned in research table.;Bản thiết kế: Pin@Có thể học tại bàn nghiên cứu.
Item/BlueprintBatteryAdvanced;Text;;Blueprint: Advanced battery@Can be learned in research table.;Bản thiết kế: Pin nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintBatteryCharger;Text;;Blueprint: Battery charger@Can be learned in research table.;Bản thiết kế: Bộ sạc pin@Có thể học tại bàn nghiên cứu.
Item/BlueprintBiofuelExtractor;Text;;Blueprint: Biofuel refiner@Can be learned in researchtable.;Bản thiết kế: Máy lọc nhiên liệu sinh học@Có thể học tại bàn nghiên cứu.
Item/BlueprintBiofuelExtractorAdvanced;Text;;Blueprint: Advanced biofuel refiner@Can be learned in research table.;Bản thiết kế: Máy lọc nhiên liệu sinh học nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintCanteen;Text;;Blueprint: Canteen@Can be learned in research table.;Bản thiết kế: Bi đông@Có thể học tại bàn nghiên cứu.
Item/BlueprintCropplot_Large_Tier3;Text;;Blueprint: Advanced large crop plot@Can be learned in research table.;Bản thiết kế: Luống trồng lớn nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintCropplot_Medium_Tier3;Text;;Blueprint: Advanced medium crop plot@Can be learned in research table.;Bản thiết kế: Luống trồng vừa nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintCropplot_Small_Tier3;Text;;Blueprint: Advanced small crop plot@Can be learned in research table.;Bản thiết kế: Luống trồng nhỏ nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintDetailPlank;Text;;Blueprint: Detail plank@Can be learned in research table.;Bản thiết kế: Ván trang trí@Có thể học tại bàn nghiên cứu.
Item/BlueprintDrinkingGlass;Text;;Blueprint: Drinking glass@Can be learned in research table.;Bản thiết kế: Ly uống nước@Có thể học tại bàn nghiên cứu.
Item/BlueprintElectricGrill;Text;;Blueprint: Electric grill@Can be learned in research table.;Bản thiết kế: Lò nướng điện@Có thể học tại bàn nghiên cứu.
Item/BlueprintElectricPurifier;Text;;Blueprint: Electric purifier@Can be learned in research table.;Bản thiết kế: Máy lọc nước điện@Có thể học tại bàn nghiên cứu.
Item/BlueprintEngineControls;Text;;Blueprint: Engine controls@Can be learned in research table.;Bản thiết kế: Bảng điều khiển động cơ@Có thể học tại bàn nghiên cứu.
Item/BlueprintFirework;Text;;Blueprint: Firework@Can be learned in research table.;Bản thiết kế: Pháo hoa@Có thể học tại bàn nghiên cứu.
Item/BlueprintFuelTank;Text;;Blueprint: Fuel tank@Can be learned in research table.;Bản thiết kế: Bồn nhiên liệu@Có thể học tại bàn nghiên cứu.
Item/BlueprintHeadLighAdvanced;Text;;Blueprint: Advanced head light@Can be learned in research table.;Bản thiết kế: Đèn đội đầu nâng cao@Có thể học tại bàn nghiên cứu.
Item/BlueprintHeadLight;Text;;Blueprint: Head light@Can be learned in research table.;Bản thiết kế: Đèn đội đầu@Có thể học tại bàn nghiên cứu.
Item/BlueprintJuicer;Text;;Blueprint: Juicer@Can be learned in research table.;Bản thiết kế: Máy ép trái cây@Có thể học tại bàn nghiên cứu.
Item/BlueprintMachete;Text;;Blueprint: Machete@Can be learned in research table.;Bản thiết kế: Dao rựa@Có thể học tại bàn nghiên cứu.
Item/BlueprintMetalDetector;Text;;Blueprint: Metal detector@Can be learned in research table.;Bản thiết kế: Máy dò kim loại@Có thể học tại bàn nghiên cứu.
Item/BlueprintMotorWheel;Text;;Blueprint: Engine@Can be learned in research table.;Bản thiết kế: Động cơ@Có thể học tại bàn nghiên cứu.
Item/BlueprintPipe_Fuel;Text;;Blueprint: Fuel pipe@Can be learned in research table.;Bản thiết kế: Ống dẫn nhiên liệu@Có thể học tại bàn nghiên cứu.
Item/BlueprintPipe_Water;Text;;Blueprint: Water pipe@Can be learned in research table.;Bản thiết kế: Ống dẫn nước@Có thể học tại bàn nghiên cứu.
Item/BlueprintReciever;Text;;Blueprint: Receiver@Can be learned in research table.;Bản thiết kế: Bộ thu@Có thể học tại bàn nghiên cứu.
Item/BlueprintRecycler;Text;;Blueprint: Recycler@Can be learned in research table.;Bản thiết kế: Máy tái chế@Có thể học tại bàn nghiên cứu.
Item/BlueprintSmelterElectric;Text;;Blueprint: Electric smelter@Can be learned in research table.;Bản thiết kế: Lò nung điện@Có thể học tại bàn nghiên cứu.
Item/BlueprintSteeringWheel;Text;;Blueprint: Steering wheel@Can be learned in research table.;Bản thiết kế: Bánh lái@Có thể học tại bàn nghiên cứu.
Item/BlueprintStorageLarge;Text;;Blueprint: Large storage@Can be learned in research table.;Bản thiết kế: Kho chứa lớn@Có thể học tại bàn nghiên cứu.
Item/BlueprintTitaniumTools;Text;;Blueprint: Titanium tools@Can be learned in research table.;Bản thiết kế: Công cụ titan@Có thể học tại bàn nghiên cứu.
Item/BlueprintWatertank;Text;;Blueprint: Water tank@Can be learned in research table.;Bản thiết kế: Bồn nước@Có thể học tại bàn nghiên cứu.
Item/BlueprintWindTurbine;Text;;Blueprint: Wind turbine@Can be learned in research table.;Bản thiết kế: Tua bin gió@Có thể học tại bàn nghiên cứu.
Item/BlueprintZiplineBase;Text;;Blueprint: Zipline@Can be learned in research table.;Bản thiết kế: Zipline@Có thể học tại bàn nghiên cứu.
Item/BlueprintZiplineTool;Text;;Blueprint: Zipline tool@Can be learned in research table.;Bản thiết kế: Dụng cụ zipline@Có thể học tại bàn nghiên cứu.
Item/BlueprintZiplineToolElectric;Text;;Blueprint: Electric zipline tool@Can be learned in research table.;Bản thiết kế: Dụng cụ zipline điện@Có thể học tại bàn nghiên cứu.
Item/Boar;Text;;Warthog;Lợn rừng
Item/BoarHead;Text;;Warthog head@Looks good on a trophy board.;Đầu lợn rừng@Trông đẹp khi treo trên bảng chiến lợi phẩm.
Item/Bolt;Text;;Bolt@It's like a thick screw.;Bu lông@Nó giống như một con vít dày.
Item/Bow;Text;;Basic bow@Shoots arrows roughly where you point it.;Cung cơ bản@Bắn tên gần đúng hướng bạn nhắm.
Item/Brick_Dry;Text;;Dry brick@A dry brick. Not very exciting in itself.;Gạch khô@Một viên gạch khô. Bản thân nó không có gì thú vị.
Item/Briefcase;Text;;Briefcase@;Cặp táp@
Item/Bucket;Text;;Bucket@Useful for gathering milk.;Xô@Hữu ích để hứng sữa.
Item/Bucket_Milk;Text;;Bucket of milk@A full bucket of milk.;Xô sữa@Một xô đầy sữa.
Item/Calendar;Text;;Calendar@Keep count on how many days you have survived.;Lịch@Đếm số ngày bạn đã sống sót.
Item/Canteen_Empty;Text;;Empty canteen@Can be filled with lots of water.;Bi đông rỗng@Có thể đổ đầy nước.
Item/Canteen_SaltWater;Text;;Canteen of salt water@Drinking saltwater is not very good. Can be turned into fresh water.;Bi đông nước mặn@Uống nước mặn không tốt lắm. Có thể lọc thành nước ngọt.
Item/Canteen_Water;Text;;Canteen of fresh water@Fresh water is very important on the ocean.;Bi đông nước ngọt@Nước ngọt rất quan trọng trên biển.
Item/Cassette_Classical;Text;;"Classical cassette@#1 Left Alone
#2 Llama Waltz
#3 Unwanted Adventure";"Băng cassette nhạc cổ điển@#1 Left Alone
#2 Llama Waltz
#3 Unwanted Adventure"
Item/Cassette_EDM;Text;;"EDM cassette @#1 Dehydrated
#2 It's a Wave
#3 Raving on Sea";"Băng cassette nhạc EDM@#1 Dehydrated
#2 It's a Wave
#3 Raving on Sea"
Item/Cassette_Elevator;Text;;Elevator cassette@#1 Levels Descending;Băng cassette nhạc thang máy@#1 Levels Descending
Item/Cassette_Pop;Text;;"Pop cassette@#1 Funky Surfer
#2 Romantic Sunset
#3 Summer Breeze";"Băng cassette nhạc Pop@#1 Funky Surfer
#2 Romantic Sunset
#3 Summer Breeze"
Item/Cassette_Rock;Text;;"Rock cassette@#1 More Metal!
#2 Seagull Stole my Potato
#3 Smoke on my Raft";"Băng cassette nhạc Rock@#1 More Metal!
#2 Seagull Stole my Potato
#3 Smoke on my Raft"
Item/Cassette_TradingPost;Text;;Trading post cassette@#1 Bargain Bossa;Băng cassette trạm giao thương@#1 Bargain Bossa
Item/CatfishDeluxe;Text;;Catfish deluxe@Makes you run faster.;Cá trê đặc biệt@Giúp bạn chạy nhanh hơn.
Item/CaveMushroom;Text;;Cave mushroom@Great addition to many meals.;Nấm hang động@Thêm vào món ăn rất tuyệt.
Item/Chili;Text;;Chili@Spice up your food.;Ớt@Thêm gia vị cho món ăn.
Item/CircuitBoard;Text;;Circuit board@Commonly used for electrical machines.;Bo mạch điện tử@Thường dùng cho máy móc điện.
Item/Clay;Text;;Clay@Plain old clay.;Đất sét@Đất sét bình thường.
Item/ClayBowl;Text;;Clay bowl@A very good bowl.;Bát đất sét@Một chiếc bát rất tốt.
Item/Coconut;Text;;Coconut@Soothes thirst and some hunger.;Dừa@Giải khát và đỡ đói.
Item/CoconutBeat;Text;;Coconut beat@Something sweet for the child in you.;Sinh tố dừa@Món ngọt cho đứa trẻ trong bạn.
Item/CoconutChicken;Text;;Coconut chicken@Yummy chicken cooked in coconut milk.;Gà nấu dừa@Thịt gà thơm ngon nấu trong nước cốt dừa.
Item/Color_Black;Text;;Black paint@Used together with the paint brush.;Sơn đen@Dùng cùng với cọ sơn.
Item/Color_Blue;Text;;Blue paint@Used together with the paint brush.;Sơn xanh dương@Dùng cùng với cọ sơn.
Item/Color_Red;Text;;Red paint@Used together with the paint brush.;Sơn đỏ@Dùng cùng với cọ sơn.
Item/Color_White;Text;;White paint@Used together with the paint brush.;Sơn trắng@Dùng cùng với cọ sơn.
Item/Color_Yellow;Text;;Yellow paint@Used together with the paint brush.;Sơn vàng@Dùng cùng với cọ sơn.
Item/Compass;Text;;Compass@Points relatively north.;La bàn@Chỉ hướng bắc tương đối.
Item/Cooked_Beet;Text;;Cooked beet@A healthy little meal.;Củ dền nướng@Một bữa ăn nhỏ tốt cho sức khỏe.
Item/Cooked_Catfish;Text;;Cooked catfish@A solid meal.;Cá trê nướng@Một bữa ăn chắc bụng.
Item/Cooked_Drumstick;Text;;Cooked drumstick@Full of protein.;Đùi gà nướng@Đầy protein.
Item/Cooked_GenericMeat;Text;;Cooked meat@Tender and juicy meat.;Thịt nướng@Thịt mềm và mọng nước.
Item/Cooked_Herring;Text;;Cooked  herring@Nice little snack.;Cá trích nướng@Món ăn vặt ngon.
Item/Cooked_Mackerel;Text;;Cooked mackerel@Fish is part of any healthy diet.;Cá thu nướng@Cá là một phần của chế độ ăn lành mạnh.
Item/Cooked_Pomfret;Text;;Cooked pomfret@Nice little snack.;Cá chim nướng@Món ăn vặt ngon.
Item/Cooked_Potato;Text;;Cooked potato@Nice little snack.;Khoai tây nướng@Món ăn vặt ngon.
Item/Cooked_Salmon;Text;;Cooked salmon@A solid meal.;Cá hồi nướng@Một bữa ăn chắc bụng.
Item/Cooked_Shark;Text;;Cooked shark@A solid meal.;Cá mập nướng@Một bữa ăn chắc bụng.
Item/Cooked_Tilapia;Text;;Cooked tilapia@Fish is part of any healthy diet.;Cá rô phi nướng@Cá là một phần của chế độ ăn lành mạnh.
Item/CopperIngot;Text;;Copper Ingot@Commonly used for electrical components.;Thỏi đồng@Thường dùng cho các linh kiện điện.
Item/CopperOre;Text;;Copper@Can be smelted into copper ingot.;Đồng@Có thể nung thành thỏi đồng.
Item/Crate;Text;;Crate;Thùng gỗ
Item/DevSpear;Text;;OP weapon@Cuts sushi like a boss.;Vũ khí siêu cấp@Cắt sushi như một cao thủ.
Item/Dirt;Text;;Dirt@Looks dirty.;Đất@Trông bẩn.
Item/DrinkingGlass;Text;;Drinking glass@Perfect for juice!;Ly uống nước@Hoàn hảo cho nước ép!
Item/DrumstickWithJam;Text;;Drumstick with jam@... who came up with this recipe?;Đùi gà sốt mứt@... ai nghĩ ra công thức này vậy?
Item/Egg;Text;;Egg@Generally used for cooking.;Trứng@Thường dùng để nấu ăn.
Item/ExplosiveGoo;Text;;Explosive goo@Can be dried in a smelter.;Chất nhờn dễ nổ@Có thể sấy khô trong lò nung.
Item/ExplosivePowder;Text;;Explosive powder@Handle with care.;Bột nổ@Xử lý cẩn thận.
Item/Feather;Text;;Feather@It's from a bird.;Lông vũ@Của một con chim.
Item/FishStew;Text;;Fish stew@A sturdier and tastier fish stew.;Súp cá@Một tô súp cá đậm đà và ngon hơn.
Item/FishingBait_Advanced;Text;;Advanced fishing bait@Has a peculiar look! Used by advanced anglers.;Mồi câu nâng cao@Có vẻ ngoài đặc biệt! Dùng bởi ngư dân nâng cao.
Item/FishingBait_Expert;Text;;Expert fishing bait@Glorius sheen! Used by expert anglers.;Mồi câu chuyên gia@Ánh lấp lánh tuyệt vời! Dùng bởi ngư dân chuyên gia.
Item/FishingBait_Simple;Text;;Simple fishing bait@Simple and efficient! Used by novice anglers.;Mồi câu đơn giản@Đơn giản và hiệu quả! Dùng bởi ngư dân mới.
Item/FishingRod;Text;;Fishing rod@Get some fish!;Cần câu cá@Câu vài con cá!
Item/FishingRod_Metal;Text;;Metal fishing rod@Sturdier and a bit more professional.;Cần câu kim loại@Chắc chắn hơn và chuyên nghiệp hơn một chút.
Item/Flipper;Text;;Flippers@Increases your speed underwater.;Chân vịt@Tăng tốc độ bơi dưới nước.
Item/Flower_Black;Text;;Black flower@Can be made into paint.;Hoa đen@Có thể làm thành sơn.
Item/Flower_Blue;Text;;Blue flower@Can be made into paint.;Hoa xanh dương@Có thể làm thành sơn.
Item/Flower_Red;Text;;Red flower@Can be made into paint.;Hoa đỏ@Có thể làm thành sơn.
Item/Flower_White;Text;;White flower@Can be made into paint.;Hoa trắng@Có thể làm thành sơn.
Item/Flower_Yellow;Text;;Yellow flower@Can be made into paint.;Hoa vàng@Có thể làm thành sơn.
Item/Foamspitter;Text;;Foamspitter@Tier 2. Time for bubbles.;Foamspitter@Bậc 2. Đến giờ phun bọt.
Item/FruitCompot;Text;;Fruit compot@Tastes extra good when you are tired of chewing meat.;Mứt trái cây@Ngon hơn hẳn khi bạn đã chán ăn thịt.
Item/GiantClam;Text;;Giant clam@A big clam.;Sò khổng lồ@Một con sò to.
Item/Glass;Text;;Glass@It's transparent.;Kính@Nó trong suốt.
Item/GlowShrimp;Text;;GlowShrimp@Tier 1. Glows less than you might think.;Tôm phát sáng@Bậc 1. Phát sáng ít hơn bạn tưởng.
Item/Hammer;Text;;Building Hammer@Useful for expanding your raft.;Búa xây dựng@Hữu ích để mở rộng bè.
Item/Hat_Captain;Text;;Captain's hat@Once belonged to a great captain.;Mũ thuyền trưởng@Từng thuộc về một thuyền trưởng vĩ đại.
Item/Hat_Chef;Text;;Chef's hat@If you prefer cooking to sailing.;Mũ đầu bếp@Nếu bạn thích nấu ăn hơn là đi biển.
Item/Hat_Construction;Text;;Construction helmet@Left behind by a construction worker.;Mũ bảo hộ xây dựng@Bị bỏ lại bởi một công nhân xây dựng.
Item/Hat_Dev;Text;;Developer hat@;Mũ nhà phát triển@
Item/Hat_Diving;Text;;Diving helmet@Somewhat airtight.;Mũ lặn@Khá kín khí.
Item/Hat_Fishing;Text;;Fishing hat@Lures for any occasion.;Mũ câu cá@Mồi câu cho mọi dịp.
Item/Hat_Glasses_Aviator;Text;;Sunglasses@For those sunny days.;Kính râm@Cho những ngày nắng.
Item/Hat_Glasses_Disguise;Text;;Disguise glasses@It might fool your friends, but it can't fool the shark.;Kính cải trang@Có thể lừa được bạn bè, nhưng không lừa được cá mập.
Item/Hat_Mayor;Text;;Mayor hat@Belonged to the mayor of Caravan Town.;Mũ thị trưởng@Từng thuộc về thị trưởng Caravan Town.
Item/Hat_Pilot;Text;;Pilot helmet@An old but fancy pilot helmet.;Mũ phi công@Một chiếc mũ phi công cũ nhưng sang trọng.
Item/Hat_Pirate;Text;;Pirate hat@Ahoy, set sail!;Mũ cướp biển@Ơi hỡi, giong buồm ra khơi!
Item/Hat_Sailor;Text;;Sailor hat@A true hat for a true sailor.;Mũ thủy thủ@Chiếc mũ đích thực cho thủy thủ đích thực.
Item/Hat_Tiki;Text;;Tiki mask@Mysterious wooden mask.;Mặt nạ Tiki@Chiếc mặt nạ gỗ bí ẩn.
Item/HeadBroth;Text;;Head broth@A tad scary but nutritious broth.;Nước dùng đầu cá@Một tô nước dùng hơi đáng sợ nhưng bổ dưỡng.
Item/HeadLight;Text;;Head light@Useful when exploring dark places.;Đèn đội đầu@Hữu ích khi khám phá nơi tối tăm.
Item/HeadLight_Advanced;Text;;Advanced head light@Reliable and excellent battery lifetime.;Đèn đội đầu nâng cao@Đáng tin cậy và tuổi thọ pin xuất sắc.
Item/HealingSalve;Text;;Healing salve@Soothes and restores your wounds.;Thuốc mỡ hồi phục@Xoa dịu và hồi phục vết thương.
Item/HealingSalve_Good;Text;;Good healing salve@Soothes and restores your wounds.;Thuốc mỡ hồi phục tốt@Xoa dịu và hồi phục vết thương.
Item/HeartyStew;Text;;Hearty stew@A mysterious stew that lets you evade death, once.;Súp bổ dưỡng@Một tô súp bí ẩn cho phép bạn tránh khỏi cái chết, một lần.
Item/Hinge;Text;;Hinge@It's two metal plates... That bend.;Bản lề@Đó là hai tấm kim loại... uốn cong được.
Item/Honey;Text;;Honey@Tastes yummy and can be used to create biofuel.;Mật ong@Ngon và có thể dùng để tạo nhiên liệu sinh học.
Item/HoneyComb;Text;;Honeycomb@Can be used to create honey jars.;Sáp ong@Có thể dùng để tạo lọ mật ong.
Item/Hook_Plastic;Text;;Plastic hook@Use this amazing item to catch debris floating by in the ocean!;Móc câu nhựa@Dùng vật phẩm tuyệt vời này để bắt mảnh vụn trôi nổi trên biển!
Item/Hook_Scrap;Text;;Scrap hook@This is basically the same as the plastic hook but better. It's faster, more durable and can be thrown farther.;Móc câu phế liệu@Về cơ bản giống móc câu nhựa nhưng tốt hơn. Nhanh hơn, bền hơn và ném xa hơn.
Item/Hook_Titanium;Text;;Titanium hook@The ultimate hook for any rafter.;Móc câu titan@Chiếc móc câu tối thượng cho bất kỳ người lái bè nào.
Item/HyenaBossHead;Text;;Alpha's head@It was tough, but you beat it!;Đầu Alpha@Nó rất khó nhằn, nhưng bạn đã đánh bại nó!
Item/HyenaHead;Text;;Hyena head@Looks good on a trophy board.;Đầu linh cẩu@Trông đẹp khi treo trên bảng chiến lợi phẩm.
Item/Item;Text;;Item;Vật phẩm
Item/Juniper;Text;;Juniper@A life changing berry.;Quả bách xù@Một loại quả mọng thay đổi cuộc đời.
Item/Leather;Text;;Leather@Tanned hide.;Da thuộc@Da đã được thuộc.
Item/LeatherChest;Text;;Leather body armor@Protects your upper body.;Giáp da phần thân@Bảo vệ phần thân trên.
Item/LeatherHelmet;Text;;Leather helmet@Protects your precious brain.;Mũ da@Bảo vệ bộ não quý giá của bạn.
Item/LeatherLegs;Text;;Leather greaves@Reduces wood splinters.;Giáp chân da@Giảm dằm gỗ.
Item/Leftover;Text;;Leftovers@This meal did not turn out very well.;Đồ ăn thừa@Món ăn này không thành công lắm.
Item/LionFish;Text;;LionFish@Tier 3. Toxic and pointy.;Cá sư tử@Bậc 3. Độc và nhọn.
Item/Lunarfish;Text;;Lunarfish@Tier 3. Reminiscent of the moon.;Cá mặt trăng@Bậc 3. Gợi nhớ đến mặt trăng.
Item/Machete;Text;;Machete@Sharp enough to cut through vegetation.;Dao rựa@Đủ sắc để chặt xuyên qua cây cỏ.
Item/MamaBearHead;Text;;Mama bear head@She was tough but not immortal!;Đầu gấu mẹ@Nó khó nhằn nhưng không bất tử!
Item/Mango;Text;;Mango@Quenches thirst and soothes hunger.;Xoài@Giải khát và đỡ đói.
Item/Mangonana;Text;;Mangonana@Mango or banan? Take both!;Xoài chuối@Xoài hay chuối? Lấy cả hai!
Item/MetalDetector;Text;;Metal detector@Helpful for finding precious metal. Bring a shovel!;Máy dò kim loại@Hữu ích để tìm kim loại quý. Mang theo xẻng!
Item/MetalIngot;Text;;Metal ingot@It's shiny.;Thỏi kim loại@Nó sáng bóng.
Item/MetalOre;Text;;Metal ore@Could be smelted into something better.;Quặng kim loại@Có thể nung thành thứ gì đó tốt hơn.
Item/MushroomOmelette;Text;;Mushroom omelette@A favorite of the breakfast community.;Trứng ốp la nấm@Món ăn sáng được yêu thích.
Item/Nail;Text;;Nail@Good for putting things together.;Đinh@Tốt để ghép mọi thứ lại với nhau.
Item/Nametag;Text;;Nametag@In memory of...;Bảng tên@Để tưởng nhớ...
Item/NetCanister;Text;;Net canister@Used together with the net launcher.;Ống chứa lưới@Dùng cùng với súng bắn lưới.
Item/NetGun;Text;;Net launcher@Aim at an animal to catch it.;Súng bắn lưới@Nhắm vào động vật để bắt nó.
Item/NetNibbler;Text;;Netnibbler@Tier 1. Better here than on one of the nets.;Netnibbler@Bậc 1. Ở đây tốt hơn là trên một trong các tấm lưới.
Item/Note;Text;;Note@;Ghi chú@
Item/OxygenBubble;Text;;Oxygen bubble@A breath of fresh air.;Bong bóng oxy@Một hơi thở trong lành.
Item/Package;Text;;Decoration package@It's the inside that matters.;Gói trang trí@Bên trong mới là điều quan trọng.
Item/Paddle;Text;;Paddle@Has your raft gotten stuck? This will help!;Mái chèo@Bè của bạn bị mắc kẹt à? Cái này sẽ giúp được!
Item/PaintBrush;Text;;Paint brush@Turn your raft into a colorful home!;Cọ sơn@Biến bè của bạn thành ngôi nhà đầy màu sắc!
Item/Pebbles;Text;;Pebble@A smaller stone, perfectly shaped for throwing.;Sỏi@Một viên đá nhỏ, hình dáng hoàn hảo để ném.
Item/Pentapus;Text;;Pentapus@Tier 3. Two of these, and you have a Tentapus.;Pentapus@Bậc 3. Hai con này ghép lại thành một Tentapus.
Item/Pineapple;Text;;Pineapple@Quenches thirst and soothes hunger.;Dứa@Giải khát và đỡ đói.
Item/PinkPike;Text;;Pink Pike@Tier 3. Whoa, pink!;Cá chó hồng@Bậc 3. Ồ, màu hồng!
Item/Plank;Text;;Plank@A simple plank.;Ván gỗ@Một tấm ván đơn giản.
Item/Plastic;Text;;Plastic@Yep. It's plastic.;Nhựa@Đúng vậy. Đó là nhựa.
Item/PlasticBottle_Empty;Text;;Empty bottle@Can be filled with lots of water.;Chai rỗng@Có thể đổ đầy nước.
Item/PlasticBottle_SaltWater;Text;;Bottle of salt water@Drinking saltwater is not very good. Can be turned into fresh water.;Chai nước mặn@Uống nước mặn không tốt lắm. Có thể lọc thành nước ngọt.
Item/PlasticBottle_Water;Text;;Bottle of fresh water@Fresh water is very important on the ocean.;Chai nước ngọt@Nước ngọt rất quan trọng trên biển.
Item/PlasticCup_Empty;Text;;Empty cup@Can be filled with some water.;Cốc rỗng@Có thể đổ đầy một ít nước.
Item/PlasticCup_SaltWater;Text;;Cup of salt water@Drinking saltwater is not very good. Can be turned into fresh water.;Cốc nước mặn@Uống nước mặn không tốt lắm. Có thể lọc thành nước ngọt.
Item/PlasticCup_Water;Text;;Cup of fresh water@Fresh water is very important on the ocean.;Cốc nước ngọt@Nước ngọt rất quan trọng trên biển.
Item/PoisonPuffer;Text;;Poison-puffer;Cá nóc độc
Item/PoisonPufferHead;Text;;Poison-puffer head@Just a Poison-puffer head.;Đầu cá nóc độc@Chỉ là một cái đầu cá nóc độc.
Item/PolarBearHead;Text;;Polar bear head@Looks good on a trophy board.;Đầu gấu Bắc Cực@Trông đẹp khi treo trên bảng chiến lợi phẩm.
Item/Pufferlisk;Text;;Pufferlisk@Tier 2. Reminiscent of another seacreature. ;Pufferlisk@Bậc 2. Gợi nhớ đến một sinh vật biển khác.
Item/RainbowLobster;Text;;Rainbow Lobster@Tier 3. Magnificent colors!;Tôm hùm cầu vồng@Bậc 3. Màu sắc tuyệt đẹp!
Item/Raw_Beet;Text;;Raw beet@Can be cooked or planted for more beets. Fits in a small crop plot.;Củ dền thô@Có thể nấu hoặc trồng để có thêm củ dền. Vừa với luống trồng nhỏ.
Item/Raw_Catfish;Text;;Raw catfish@One would need a big fire to cook this thing...;Cá trê thô@Cần một ngọn lửa lớn để nấu chín thứ này...
Item/Raw_Drumstick;Text;;Raw drumstick@Apparently these are found on birds.;Đùi gà thô@Rõ ràng thứ này được tìm thấy trên chim.
Item/Raw_GenericMeat;Text;;Raw meat@Meat tastes better when cooked.;Thịt thô@Thịt sẽ ngon hơn khi nấu chín.
Item/Raw_Herring;Text;;Raw herring@Could be bigger.;Cá trích thô@Có thể to hơn.
Item/Raw_Mackerel;Text;;Raw mackerel@Fresh from the ocean.;Cá thu thô@Tươi mới từ đại dương.
Item/Raw_Pomfret;Text;;Raw pomfret@Why so small?;Cá chim thô@Sao lại nhỏ vậy?
Item/Raw_Potato;Text;;Raw potato@Can be cooked or planted for more potatoes. Fits in a small crop plot.;Khoai tây thô@Có thể nấu hoặc trồng để có thêm khoai tây. Vừa với luống trồng nhỏ.
Item/Raw_Salmon;Text;;Raw salmon@One would need a big fire to cook this thing...;Cá hồi thô@Cần một ngọn lửa lớn để nấu chín thứ này...
Item/Raw_Shark;Text;;Raw sharkmeat@It sort of looks like a boomerang.;Thịt cá mập thô@Nó trông hơi giống chiếc boomerang.
Item/Raw_Tilapia;Text;;Raw tilapia@This thing is funny looking.;Cá rô phi thô@Thứ này trông buồn cười.
Item/Recipe_BBQ;Text;;Recipe: BBQ@A recipe that can be cooked in a pot;Công thức: Đồ nướng@Một công thức có thể nấu trong nồi
